/Users/sucharith/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting 48143 URLs -> production_run/output/full_validated.csv, production_run/output/full_unresolved.csv
[progress] 485/48143 (1.0%) validated=326 unresolved=159 rate=31.9/min eta=89502s
[progress] 489/48143 (1.0%) validated=327 unresolved=162 rate=31.9/min eta=89740s
[progress] 496/48143 (1.0%) validated=331 unresolved=165 rate=31.9/min eta=89618s
[progress] 500/48143 (1.0%) validated=331 unresolved=169 rate=31.9/min eta=89648s
[progress] 505/48143 (1.0%) validated=332 unresolved=173 rate=31.8/min eta=89748s
[progress] 511/48143 (1.1%) validated=336 unresolved=175 rate=31.8/min eta=89747s
[progress] 516/48143 (1.1%) validated=339 unresolved=177 rate=31.8/min eta=89792s
[progress] 521/48143 (1.1%) validated=341 unresolved=180 rate=31.8/min eta=89971s
[progress] 525/48143 (1.1%) validated=342 unresolved=183 rate=31.8/min eta=89870s
[progress] 530/48143 (1.1%) validated=345 unresolved=185 rate=31.8/min eta=89915s
[progress] 536/48143 (1.1%) validated=346 unresolved=190 rate=31.8/min eta=89959s
[progress] 541/48143 (1.1%) validated=346 unresolved=195 rate=31.6/min eta=90279s
[progress] 548/48143 (1.1%) validated=348 unresolved=200 rate=31.7/min eta=90067s
[progress] 550/48143 (1.1%) validated=349 unresolved=201 rate=31.7/min eta=90079s
[progress] 555/48143 (1.2%) validated=349 unresolved=206 rate=31.7/min eta=90117s
[progress] 560/48143 (1.2%) validated=351 unresolved=209 rate=31.7/min eta=90195s
[progress] 565/48143 (1.2%) validated=353 unresolved=212 rate=31.5/min eta=90654s
[progress] 573/48143 (1.2%) validated=357 unresolved=216 rate=31.6/min eta=90434s
[progress] 575/48143 (1.2%) validated=357 unresolved=218 rate=31.6/min eta=90406s
[progress] 579/48143 (1.2%) validated=358 unresolved=221 rate=31.5/min eta=90595s
[progress] 586/48143 (1.2%) validated=360 unresolved=226 rate=31.6/min eta=90327s
[progress] 592/48143 (1.2%) validated=362 unresolved=230 rate=31.6/min eta=90362s
[progress] 597/48143 (1.2%) validated=364 unresolved=233 rate=31.5/min eta=90424s
[progress] 600/48143 (1.2%) validated=365 unresolved=235 rate=31.5/min eta=90569s
[progress] 606/48143 (1.3%) validated=366 unresolved=240 rate=31.5/min eta=90446s
[progress] 612/48143 (1.3%) validated=367 unresolved=245 rate=31.5/min eta=90511s
[progress] 618/48143 (1.3%) validated=372 unresolved=246 rate=31.5/min eta=90516s
[progress] 624/48143 (1.3%) validated=374 unresolved=250 rate=31.5/min eta=90576s
[progress] 625/48143 (1.3%) validated=374 unresolved=251 rate=31.5/min eta=90550s
[progress] 631/48143 (1.3%) validated=376 unresolved=255 rate=31.5/min eta=90581s
[progress] 636/48143 (1.3%) validated=378 unresolved=258 rate=31.5/min eta=90608s
[progress] 642/48143 (1.3%) validated=380 unresolved=262 rate=31.4/min eta=90640s
[progress] 648/48143 (1.3%) validated=382 unresolved=266 rate=31.4/min eta=90666s
[progress] 650/48143 (1.4%) validated=382 unresolved=268 rate=31.4/min eta=90675s
[progress] 656/48143 (1.4%) validated=384 unresolved=272 rate=31.4/min eta=90755s
[progress] 662/48143 (1.4%) validated=388 unresolved=274 rate=31.4/min eta=90730s
[progress] 667/48143 (1.4%) validated=389 unresolved=278 rate=31.4/min eta=90755s
[progress] 673/48143 (1.4%) validated=391 unresolved=282 rate=31.4/min eta=90808s
[progress] 675/48143 (1.4%) validated=391 unresolved=284 rate=31.4/min eta=90786s
[progress] 681/48143 (1.4%) validated=393 unresolved=288 rate=31.4/min eta=90817s
[progress] 687/48143 (1.4%) validated=394 unresolved=293 rate=31.3/min eta=90835s
[progress] 692/48143 (1.4%) validated=395 unresolved=297 rate=31.3/min eta=90898s
[progress] 698/48143 (1.4%) validated=396 unresolved=302 rate=31.3/min eta=90878s
[progress] 700/48143 (1.5%) validated=397 unresolved=303 rate=31.3/min eta=90887s
[progress] 706/48143 (1.5%) validated=400 unresolved=306 rate=31.3/min eta=91004s
[progress] 711/48143 (1.5%) validated=400 unresolved=311 rate=31.2/min eta=91072s
